Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+24BE	Ⓘ	\oI	CIRCLED LATIN CAPITAL LETTER I	I
U+24BF	Ⓙ	\oJ	CIRCLED LATIN CAPITAL LETTER J	J
U+24C0	Ⓚ	\oK	CIRCLED LATIN CAPITAL LETTER K	K
U+24C1	Ⓛ	\oL	CIRCLED LATIN CAPITAL LETTER L	L
U+24C2	Ⓜ	\oM	CIRCLED LATIN CAPITAL LETTER M	M
U+24C3	Ⓝ	\oN	CIRCLED LATIN CAPITAL LETTER N	N
U+24C4	Ⓞ	\oO	CIRCLED LATIN CAPITAL LETTER O	O
U+24C5	Ⓟ	\oP	CIRCLED LATIN CAPITAL LETTER P	P
U+24C6	Ⓠ	\oQ	CIRCLED LATIN CAPITAL LETTER Q	Q
U+24C7	Ⓡ	\oR	CIRCLED LATIN CAPITAL LETTER R	R
U+24C8	Ⓢ	\oS	CIRCLED LATIN CAPITAL LETTER S	S
U+24C9	Ⓣ	\oT	CIRCLED LATIN CAPITAL LETTER T	T
U+24CA	Ⓤ	\oU	CIRCLED LATIN CAPITAL LETTER U	U
U+24CB	Ⓥ	\oV	CIRCLED LATIN CAPITAL LETTER V	V
U+24CC	Ⓦ	\oW	CIRCLED LATIN CAPITAL LETTER W	W
U+24CD	Ⓧ	\oX	CIRCLED LATIN CAPITAL LETTER X	X
U+24CE	Ⓨ	\oY	CIRCLED LATIN CAPITAL LETTER Y	Y
U+24CF	Ⓩ	\oZ	CIRCLED LATIN CAPITAL LETTER Z	Z
U+24D0	ⓐ	\oa	CIRCLED LATIN SMALL LETTER A	a
U+24D1	ⓑ	\ob	CIRCLED LATIN SMALL LETTER B	b
U+24D2	ⓒ	\oc	CIRCLED LATIN SMALL LETTER C	c
U+24D3	ⓓ	\od	CIRCLED LATIN SMALL LETTER D	d
U+24D4	ⓔ	\oe	CIRCLED LATIN SMALL LETTER E	e
U+24D5	ⓕ	\of	CIRCLED LATIN SMALL LETTER F	f
U+24D6	ⓖ	\og	CIRCLED LATIN SMALL LETTER G	g
U+24D7	ⓗ	\oh	CIRCLED LATIN SMALL LETTER H	h
U+24D8	ⓘ	\oi	CIRCLED LATIN SMALL LETTER I	i
U+24D9	ⓙ	\oj	CIRCLED LATIN SMALL LETTER J	j
U+24DA	ⓚ	\ok	CIRCLED LATIN SMALL LETTER K	k
U+24DB	ⓛ	\ol	CIRCLED LATIN SMALL LETTER L	l
U+24DC	ⓜ	\om	CIRCLED LATIN SMALL LETTER M	m
U+24DD	ⓝ	\on	CIRCLED LATIN SMALL LETTER N	n
U+24DE	ⓞ	\oo	CIRCLED LATIN SMALL LETTER O	o
U+24DF	ⓟ	\op	CIRCLED LATIN SMALL LETTER P	p
U+24E0	ⓠ	\oq	CIRCLED LATIN SMALL LETTER Q	q
U+24E1	ⓡ	\or	CIRCLED LATIN SMALL LETTER R	r
U+24E2	ⓢ	\os	CIRCLED LATIN SMALL LETTER S	s
U+24E3	ⓣ	\ot	CIRCLED LATIN SMALL LETTER T	t
U+24E4	ⓤ	\ou	CIRCLED LATIN SMALL LETTER U	u
U+24E5	ⓥ	\ov	CIRCLED LATIN SMALL LETTER V	v
U+24E6	ⓦ	\ow	CIRCLED LATIN SMALL LETTER W	w
U+24E7	ⓧ	\ox	CIRCLED LATIN SMALL LETTER X	x
U+24E8	ⓨ	\oy	CIRCLED LATIN SMALL LETTER Y	y
U+24E9	ⓩ	\oz	CIRCLED LATIN SMALL LETTER Z	z
U+24EA	⓪	\o0	CIRCLED DIGIT ZERO	0
U+24EB	⓫		Negative circled number eleven	11
U+24EC	⓬		Negative circled number twelve	12
U+24ED	⓭		Negative circled number thirteen	13
U+24EE	⓮		Negative circled number fourteen	14
U+24EF	⓯		Negative circled number fifteen	15
U+24F0	⓰		Negative circled number sixteen	16
U+24F1	⓱		Negative circled number seventeen	17
U+24F2	⓲		Negative circled number eighteen	18
U+24F3	⓳		Negative circled number nineteen	19
U+24F4	⓴		Negative circled number twenty	20
U+24F5	⓵		Double circled digit one	1
U+24F6	⓶		Double circled digit two	2
U+24F7	⓷		Double circled digit three	3
U+24F8	⓸		Double circled digit four	4
U+24F9	⓹		Double circled digit five	5
U+24FA	⓺		Double circled digit six	6
U+24FB	⓻		Double circled digit seven	7
U+24FC	⓼		Double circled digit eight	8
U+24FD	⓽		Double circled digit nine	9
U+24FE	⓾		Double circled number ten	10
U+24FF	⓿		Negative circled digit zero	0
